Plasmid1	organism_ID1	plasmid_clust1	Plasmid2	plasmid_clust2	organism_ID2	MashDistance	Multi_plasmid_isolate
CP063323.1	216	8	CP113530.1	U	156	1	Yes
CP076858.1	18	12	CP113530.1	U	156	1	Yes
CP103314.1	286	U	CP113530.1	U	156	1	Yes
AP020329.1	24	6	CP113530.1	U	156	1	Yes
CP015597.1	171	U	CP113530.1	U	156	1	No
CP079879.1	166	U	CP113530.1	U	156	1	Yes
CP084595.1	91	13	CP113530.1	U	156	0.405585	Yes
CP080335.1	317	U	CP113530.1	U	156	1	Yes
CP065282.1	231	14	CP113530.1	U	156	1	Yes
AP023336.1	348	15	CP113530.1	U	156	1	Yes
CP012887.2	83	U	CP113530.1	U	156	1	Yes
CP122998.1	274	U	CP113530.1	U	156	1	Yes
AP023363.1	349	16	CP113530.1	U	156	0.405585	Yes
CP003054.1	284	U	CP113530.1	U	156	1	Yes
JQ657806.1	98	U	CP113530.1	U	156	1	Yes
CP020812.1	49	U	CP113530.1	U	156	1	Yes
CP029333.1	19	1	CP113530.1	U	156	0.287309	Yes
CP040253.1	23	17	CP113530.1	U	156	1	Yes
AP022580.1	277	U	CP113530.1	U	156	1	No
AP023365.1	349	15	CP113530.1	U	156	1	Yes
AP024252.1	131	18	CP113530.1	U	156	1	No
AP024267.1	61	9	CP113530.1	U	156	1	No
CP015271.1	85	6	CP113530.1	U	156	1	Yes
CP034180.1	182	19	CP113530.1	U	156	1	No
CP085920.1	236	19	CP113530.1	U	156	1	No
AP022607.1	44	U	CP113530.1	U	156	1	No
CP079878.1	166	U	CP113530.1	U	156	1	Yes
CP084593.1	91	1	CP113530.1	U	156	0.276697	Yes
CP015270.1	85	7	CP113530.1	U	156	0.372583	Yes
AP018497.1	118	20	CP113530.1	U	156	0.328965	No
AP022622.1	206	21	CP113530.1	U	156	1	Yes
CP015273.1	86	1	CP113530.1	U	156	0.276697	Yes
CP065285.1	234	U	CP113530.1	U	156	1	Yes
CP084587.1	92	22	CP113530.1	U	156	1	Yes
LT703506.1	93	22	CP113530.1	U	156	1	Yes
CP063329.1	220	U	CP113530.1	U	156	1	No
CP015276.1	86	23	CP113530.1	U	156	1	Yes
CP089217.1	99	24	CP113530.1	U	156	1	No
CP076859.1	17	25	CP113530.1	U	156	0.270747	Yes
CP020811.1	49	U	CP113530.1	U	156	1	Yes
CP022225.1	88	6	CP113530.1	U	156	1	Yes
CP079875.1	166	U	CP113530.1	U	156	1	Yes
CP003079.1	161	U	CP113530.1	U	156	0.328965	Yes
AP024261.1	67	9	CP113530.1	U	156	1	No
CP032156.1	158	U	CP113530.1	U	156	0.328965	No
CP059001.1	16	18	CP113530.1	U	156	1	Yes
CP079864.1	165	U	CP113530.1	U	156	1	No
CP009406.2	13	26	CP113530.1	U	156	1	Yes
CP036221.2	20	2	CP113530.1	U	156	1	Yes
CP015268.1	85	27	CP113530.1	U	156	0.291447	Yes
AP022585.1	125	U	CP113530.1	U	156	1	No
CP076857.1	18	25	CP113530.1	U	156	0.291447	Yes
EU271968.1	112	28	CP113530.1	U	156	1	No
AP020328.1	24	7	CP113530.1	U	156	0.372583	Yes
CP023153.1	89	1	CP113530.1	U	156	0.276697	Yes
CP045967.1	90	23	CP113530.1	U	156	1	Yes
HG917973.1	122	20	CP113530.1	U	156	0.328965	No
CP065271.1	225	14	CP113530.1	U	156	1	Yes
AP025528.1	154	29	CP113530.1	U	156	1	Yes
CP084590.1	92	23	CP113530.1	U	156	1	Yes
AP022611.1	307	U	CP113530.1	U	156	1	No
CP092363.2	286	U	CP113530.1	U	156	1	Yes
CP012886.2	83	U	CP113530.1	U	156	0.405585	Yes
CP103313.1	326	U	CP113530.1	U	156	1	Yes
LT703507.1	93	1	CP113530.1	U	156	0.276697	Yes
CP118918.1	254	U	CP113530.1	U	156	0.372583	No
AP026368.1	143	28	CP113530.1	U	156	1	No
CP079876.1	166	U	CP113530.1	U	156	1	Yes
CP065049.1	103	U	CP113530.1	U	156	1	Yes
CP040251.1	23	2	CP113530.1	U	156	1	Yes
CP009405.2	13	U	CP113530.1	U	156	0.405585	Yes
BX649209.1	178	28	CP113530.1	U	156	1	No
CP081676.1	291	U	CP113530.1	U	156	1	Yes
CP015279.1	87	27	CP113530.1	U	156	0.283502	Yes
CP040245.1	22	17	CP113530.1	U	156	1	Yes
AP023364.1	349	30	CP113530.1	U	156	0.35328	Yes
CP045968.1	90	6	CP113530.1	U	156	1	Yes
CP059000.1	16	25	CP113530.1	U	156	0.26803	Yes
AP025525.1	154	1	CP113530.1	U	156	0.300994	Yes
AP023335.1	348	30	CP113530.1	U	156	0.35328	Yes
AP024256.1	63	U	CP113530.1	U	156	1	No
CP081675.1	291	U	CP113530.1	U	156	0.35328	Yes
AP022623.1	206	31	CP113530.1	U	156	0.372583	Yes
CP084594.1	91	4	CP113530.1	U	156	1	Yes
CP076860.1	17	U	CP113530.1	U	156	1	Yes
CP092428.2	326	U	CP113530.1	U	156	1	Yes
CP084588.1	92	1	CP113530.1	U	156	0.276697	Yes
CP122999.1	274	U	CP113530.1	U	156	1	Yes
CP122995.1	274	U	CP113530.1	U	156	1	Yes
CP023148.1	124	U	CP113530.1	U	156	1	No
CP015277.1	86	6	CP113530.1	U	156	1	Yes
CP122997.1	274	U	CP113530.1	U	156	1	Yes
AP022592.1	273	U	CP113530.1	U	156	0.405585	No
CP092982.1	121	20	CP113530.1	U	156	0.328965	No
CP025550.1	130	29	CP113530.1	U	156	1	Yes
CP016642.1	157	U	CP113530.1	U	156	0.405585	Yes
CP065281.1	231	5	CP113530.1	U	156	0.339586	Yes
AP020327.1	24	U	CP113530.1	U	156	1	Yes
CP045966.1	90	13	CP113530.1	U	156	0.405585	Yes
CP040248.1	21	18	CP113530.1	U	156	1	Yes
CP002386.1	298	U	CP113530.1	U	156	0.339586	Yes
CP092425.2	105	23	CP113530.1	U	156	1	Yes
CP003080.1	161	U	CP113530.1	U	156	1	Yes
CP023152.1	89	25	CP113530.1	U	156	0.405585	Yes
CP084589.1	92	6	CP113530.1	U	156	1	Yes
CP063325.1	218	U	CP113530.1	U	156	1	Yes
CP045327.1	168	U	CP113530.1	U	156	1	Yes
CP016641.1	157	U	CP113530.1	U	156	1	Yes
CP040254.1	23	18	CP113530.1	U	156	1	Yes
CP015275.1	86	13	CP113530.1	U	156	0.405585	Yes
CP070974.1	52	U	CP113530.1	U	156	0.405585	No
AP022602.1	51	U	CP113530.1	U	156	1	No
CP084596.1	91	23	CP113530.1	U	156	1	Yes
CP043475.1	53	U	CP113530.1	U	156	0.405585	No
LT703508.1	93	23	CP113530.1	U	156	1	Yes
CP025547.1	130	U	CP113530.1	U	156	0.372583	Yes
CP020813.1	49	U	CP113530.1	U	156	1	Yes
CP079877.1	166	U	CP113530.1	U	156	1	Yes
CP076861.1	17	6	CP113530.1	U	156	1	Yes
CP000895.1	123	19	CP113530.1	U	156	1	No
CP025548.1	130	U	CP113530.1	U	156	1	Yes
CP045965.1	90	4	CP113530.1	U	156	1	Yes
AP025527.1	154	U	CP113530.1	U	156	1	Yes
AP017625.1	179	28	CP113530.1	U	156	1	No
CP079870.1	166	10	CP113530.1	U	156	1	Yes
CP040249.1	21	17	CP113530.1	U	156	1	Yes
CP081674.1	291	U	CP113530.1	U	156	1	Yes
CP015269.1	85	U	CP113530.1	U	156	1	Yes
CP065184.1	222	14	CP113530.1	U	156	1	No
CP003055.1	284	U	CP113530.1	U	156	1	Yes
CP079873.1	166	U	CP113530.1	U	156	1	Yes
CP103312.1	176	28	CP113530.1	U	156	1	No
CP092366.2	262	U	CP113530.1	U	156	1	No
CP080334.1	317	U	CP113530.1	U	156	0.339586	Yes
CP065286.1	234	U	CP113530.1	U	156	1	Yes
AP024246.1	66	9	CP113530.1	U	156	1	No
CP045964.1	90	1	CP113530.1	U	156	0.276697	Yes
CP023150.1	59	18	CP113530.1	U	156	1	No
CP015274.1	86	4	CP113530.1	U	156	1	Yes
CP083743.1	175	U	CP113530.1	U	156	1	Yes
CP097321.1	4	U	CP113530.1	U	156	0.405585	No
CP063326.1	218	14	CP113530.1	U	156	1	Yes
CP063322.1	216	U	CP113530.1	U	156	1	Yes
AP022571.1	322	U	CP113530.1	U	156	0.320287	No
CP040246.1	22	18	CP113530.1	U	156	1	Yes
AP012556.1	25	25	CP113530.1	U	156	0.270747	No
CP089219.1	100	24	CP113530.1	U	156	1	No
CP019223.1	84	4	CP113530.1	U	156	1	Yes
CP059002.1	16	12	CP113530.1	U	156	1	Yes
CP015280.1	87	1	CP113530.1	U	156	0.283502	Yes
CP079868.1	167	U	CP113530.1	U	156	1	Yes
CP036222.2	20	26	CP113530.1	U	156	1	Yes
CP083742.1	175	28	CP113530.1	U	156	1	Yes
CP019222.1	84	13	CP113530.1	U	156	0.405585	Yes
CP063321.1	216	11	CP113530.1	U	156	1	Yes
CP002387.1	298	U	CP113530.1	U	156	0.372583	Yes
CP004376.1	240	21	CP113530.1	U	156	1	Yes
CU458745.1	214	19	CP113530.1	U	156	1	No
AP024242.1	64	9	CP113530.1	U	156	1	No
CP085201.1	174	28	CP113530.1	U	156	1	No
CP012888.2	83	6	CP113530.1	U	156	1	Yes
CP081005.1	160	U	CP113530.1	U	156	1	No
JQ657805.1	98	1	CP113530.1	U	156	0.283502	Yes
AP023334.1	348	16	CP113530.1	U	156	0.405585	Yes
CP092424.2	105	U	CP113530.1	U	156	0.405585	Yes
AP024249.1	65	9	CP113530.1	U	156	1	No
CP004375.1	240	31	CP113530.1	U	156	1	Yes
CP092426.2	105	3	CP113530.1	U	156	0.405585	Yes
CP045326.1	168	U	CP113530.1	U	156	1	Yes
LT703510.1	93	13	CP113530.1	U	156	0.405585	Yes
CP025549.1	130	U	CP113530.1	U	156	1	Yes
AP024263.1	68	9	CP113530.1	U	156	1	No
CP020810.1	49	U	CP113530.1	U	156	1	Yes
CP006836.1	101	1	CP113530.1	U	156	0.287309	No
CP003081.1	161	U	JQ657805.1	1	98	1	Yes
CP019224.1	84	1	JQ657805.1	1	98	0.0421592	Yes
CP029334.1	19	2	JQ657805.1	1	98	0.35328	Yes
CP084591.1	92	3	JQ657805.1	1	98	1	Yes
CP079866.1	167	U	JQ657805.1	1	98	0.372583	Yes
LT703509.1	93	4	JQ657805.1	1	98	1	Yes
CP065270.1	225	5	JQ657805.1	1	98	0.320287	Yes
CP079874.1	166	U	JQ657805.1	1	98	0.372583	Yes
CP084597.1	91	6	JQ657805.1	1	98	1	Yes
CP022224.1	88	7	JQ657805.1	1	98	1	Yes
CP016643.1	157	8	JQ657805.1	1	98	1	Yes
CP040252.1	23	2	JQ657805.1	1	98	0.328965	Yes
CP122996.1	274	U	JQ657805.1	1	98	1	Yes
CP065048.1	103	9	JQ657805.1	1	98	0.372583	Yes
AP025526.1	154	U	JQ657805.1	1	98	1	Yes
CP085946.1	58	9	JQ657805.1	1	98	0.372583	No
CP079872.1	166	U	JQ657805.1	1	98	0.405585	Yes
AP022566.1	271	U	JQ657805.1	1	98	1	No
CP079867.1	167	10	JQ657805.1	1	98	0.405585	Yes
CP079871.1	166	U	JQ657805.1	1	98	0.35328	Yes
CP065277.1	228	11	JQ657805.1	1	98	1	No
CP063323.1	216	8	JQ657805.1	1	98	1	Yes
CP076858.1	18	12	JQ657805.1	1	98	0.35328	Yes
CP103314.1	286	U	JQ657805.1	1	98	0.405585	Yes
AP020329.1	24	6	JQ657805.1	1	98	1	Yes
CP015597.1	171	U	JQ657805.1	1	98	0.405585	No
CP079879.1	166	U	JQ657805.1	1	98	1	Yes
CP084595.1	91	13	JQ657805.1	1	98	1	Yes
CP080335.1	317	U	JQ657805.1	1	98	1	Yes
CP065282.1	231	14	JQ657805.1	1	98	1	Yes
AP023336.1	348	15	JQ657805.1	1	98	1	Yes
CP012887.2	83	U	JQ657805.1	1	98	1	Yes
CP122998.1	274	U	JQ657805.1	1	98	1	Yes
AP023363.1	349	16	JQ657805.1	1	98	1	Yes
CP003054.1	284	U	JQ657805.1	1	98	0.339586	Yes
JQ657806.1	98	U	JQ657805.1	1	98	1	Yes
CP020812.1	49	U	JQ657805.1	1	98	0.372583	Yes
CP029333.1	19	1	JQ657805.1	1	98	0.0525139	Yes
CP040253.1	23	17	JQ657805.1	1	98	1	Yes
AP022580.1	277	U	JQ657805.1	1	98	0.405585	No
AP023365.1	349	15	JQ657805.1	1	98	1	Yes
AP024252.1	131	18	JQ657805.1	1	98	1	No
AP024267.1	61	9	JQ657805.1	1	98	0.372583	No
CP015271.1	85	6	JQ657805.1	1	98	1	Yes
CP034180.1	182	19	JQ657805.1	1	98	1	No
CP085920.1	236	19	JQ657805.1	1	98	1	No
AP022607.1	44	U	JQ657805.1	1	98	1	No
CP079878.1	166	U	JQ657805.1	1	98	1	Yes
CP084593.1	91	1	JQ657805.1	1	98	0.0422174	Yes
CP015270.1	85	7	JQ657805.1	1	98	1	Yes
AP018497.1	118	20	JQ657805.1	1	98	0.214163	No
AP022622.1	206	21	JQ657805.1	1	98	1	Yes
CP015273.1	86	1	JQ657805.1	1	98	0.0421592	Yes
CP065285.1	234	U	JQ657805.1	1	98	1	Yes
CP084587.1	92	22	JQ657805.1	1	98	0.35328	Yes
LT703506.1	93	22	JQ657805.1	1	98	0.35328	Yes
CP063329.1	220	U	JQ657805.1	1	98	1	No
CP015276.1	86	23	JQ657805.1	1	98	0.372583	Yes
CP089217.1	99	24	JQ657805.1	1	98	1	No
CP076859.1	17	25	JQ657805.1	1	98	0.215016	Yes
CP020811.1	49	U	JQ657805.1	1	98	0.35328	Yes
CP022225.1	88	6	JQ657805.1	1	98	1	Yes
CP079875.1	166	U	JQ657805.1	1	98	1	Yes
CP003079.1	161	U	JQ657805.1	1	98	0.372583	Yes
AP024261.1	67	9	JQ657805.1	1	98	0.372583	No
CP032156.1	158	U	JQ657805.1	1	98	0.405585	No
CP059001.1	16	18	JQ657805.1	1	98	1	Yes
CP079864.1	165	U	JQ657805.1	1	98	1	No
CP009406.2	13	26	JQ657805.1	1	98	1	Yes
CP036221.2	20	2	JQ657805.1	1	98	0.328965	Yes
CP015268.1	85	27	JQ657805.1	1	98	0.211692	Yes
AP022585.1	125	U	JQ657805.1	1	98	1	No
CP076857.1	18	25	JQ657805.1	1	98	0.23782	Yes
EU271968.1	112	28	JQ657805.1	1	98	0.405585	No
AP020328.1	24	7	JQ657805.1	1	98	1	Yes
CP023153.1	89	1	JQ657805.1	1	98	0.0418697	Yes
CP045967.1	90	23	JQ657805.1	1	98	0.372583	Yes
HG917973.1	122	20	JQ657805.1	1	98	0.209345	No
CP065271.1	225	14	JQ657805.1	1	98	0.405585	Yes
AP025528.1	154	29	JQ657805.1	1	98	0.372583	Yes
CP084590.1	92	23	JQ657805.1	1	98	0.372583	Yes
AP022611.1	307	U	JQ657805.1	1	98	1	No
CP092363.2	286	U	JQ657805.1	1	98	0.328965	Yes
CP012886.2	83	U	JQ657805.1	1	98	0.295981	Yes
CP103313.1	326	U	JQ657805.1	1	98	1	Yes
LT703507.1	93	1	JQ657805.1	1	98	0.0421738	Yes
CP118918.1	254	U	JQ657805.1	1	98	0.372583	No
AP026368.1	143	28	JQ657805.1	1	98	0.372583	No
CP079876.1	166	U	JQ657805.1	1	98	1	Yes
CP065049.1	103	U	JQ657805.1	1	98	1	Yes
CP040251.1	23	2	JQ657805.1	1	98	0.328965	Yes
CP009405.2	13	U	JQ657805.1	1	98	1	Yes
BX649209.1	178	28	JQ657805.1	1	98	0.405585	No
CP081676.1	291	U	JQ657805.1	1	98	0.405585	Yes
CP015279.1	87	27	JQ657805.1	1	98	0.204974	Yes
CP040245.1	22	17	JQ657805.1	1	98	1	Yes
AP023364.1	349	30	JQ657805.1	1	98	0.405585	Yes
CP045968.1	90	6	JQ657805.1	1	98	1	Yes
CP059000.1	16	25	JQ657805.1	1	98	0.206387	Yes
AP025525.1	154	1	JQ657805.1	1	98	0.0333773	Yes
AP023335.1	348	30	JQ657805.1	1	98	0.405585	Yes
AP024256.1	63	U	JQ657805.1	1	98	1	No
CP081675.1	291	U	JQ657805.1	1	98	1	Yes
AP022623.1	206	31	JQ657805.1	1	98	1	Yes
CP084594.1	91	4	JQ657805.1	1	98	1	Yes
CP076860.1	17	U	JQ657805.1	1	98	1	Yes
CP092428.2	326	U	JQ657805.1	1	98	0.405585	Yes
CP084588.1	92	1	JQ657805.1	1	98	0.0420866	Yes
CP122999.1	274	U	JQ657805.1	1	98	1	Yes
CP122995.1	274	U	JQ657805.1	1	98	1	Yes
CP023148.1	124	U	JQ657805.1	1	98	0.405585	No
CP015277.1	86	6	JQ657805.1	1	98	1	Yes
CP122997.1	274	U	JQ657805.1	1	98	1	Yes
AP022592.1	273	U	JQ657805.1	1	98	1	No
CP092982.1	121	20	JQ657805.1	1	98	0.209345	No
CP025550.1	130	29	JQ657805.1	1	98	0.372583	Yes
CP016642.1	157	U	JQ657805.1	1	98	0.339586	Yes
CP065281.1	231	5	JQ657805.1	1	98	0.320287	Yes
AP020327.1	24	U	JQ657805.1	1	98	1	Yes
CP045966.1	90	13	JQ657805.1	1	98	1	Yes
CP040248.1	21	18	JQ657805.1	1	98	1	Yes
CP002386.1	298	U	JQ657805.1	1	98	0.405585	Yes
CP092425.2	105	23	JQ657805.1	1	98	0.372583	Yes
CP003080.1	161	U	JQ657805.1	1	98	1	Yes
CP023152.1	89	25	JQ657805.1	1	98	0.339586	Yes
CP084589.1	92	6	JQ657805.1	1	98	1	Yes
CP063325.1	218	U	JQ657805.1	1	98	1	Yes
CP045327.1	168	U	JQ657805.1	1	98	1	Yes
CP016641.1	157	U	JQ657805.1	1	98	0.405585	Yes
CP040254.1	23	18	JQ657805.1	1	98	1	Yes
CP015275.1	86	13	JQ657805.1	1	98	1	Yes
CP070974.1	52	U	JQ657805.1	1	98	0.320287	No
AP022602.1	51	U	JQ657805.1	1	98	1	No
CP084596.1	91	23	JQ657805.1	1	98	0.372583	Yes
CP043475.1	53	U	JQ657805.1	1	98	0.372583	No
LT703508.1	93	23	JQ657805.1	1	98	0.372583	Yes
CP025547.1	130	U	JQ657805.1	1	98	0.306598	Yes
CP020813.1	49	U	JQ657805.1	1	98	1	Yes
CP079877.1	166	U	JQ657805.1	1	98	1	Yes
CP076861.1	17	6	JQ657805.1	1	98	1	Yes
CP000895.1	123	19	JQ657805.1	1	98	1	No
CP025548.1	130	U	JQ657805.1	1	98	1	Yes
CP045965.1	90	4	JQ657805.1	1	98	1	Yes
AP025527.1	154	U	JQ657805.1	1	98	0.405585	Yes
AP017625.1	179	28	JQ657805.1	1	98	0.405585	No
CP079870.1	166	10	JQ657805.1	1	98	0.405585	Yes
CP040249.1	21	17	JQ657805.1	1	98	1	Yes
CP081674.1	291	U	JQ657805.1	1	98	0.405585	Yes
CP015269.1	85	U	JQ657805.1	1	98	1	Yes
CP065184.1	222	14	JQ657805.1	1	98	0.405585	No
CP003055.1	284	U	JQ657805.1	1	98	1	Yes
CP079873.1	166	U	JQ657805.1	1	98	1	Yes
CP103312.1	176	28	JQ657805.1	1	98	0.405585	No
CP092366.2	262	U	JQ657805.1	1	98	1	No
CP080334.1	317	U	JQ657805.1	1	98	1	Yes
CP065286.1	234	U	JQ657805.1	1	98	1	Yes
AP024246.1	66	9	JQ657805.1	1	98	0.372583	No
CP045964.1	90	1	JQ657805.1	1	98	0.0421592	Yes
CP023150.1	59	18	JQ657805.1	1	98	1	No
CP015274.1	86	4	JQ657805.1	1	98	1	Yes
CP083743.1	175	U	JQ657805.1	1	98	1	Yes
CP097321.1	4	U	JQ657805.1	1	98	1	No
CP063326.1	218	14	JQ657805.1	1	98	0.405585	Yes
CP063322.1	216	U	JQ657805.1	1	98	1	Yes
AP022571.1	322	U	JQ657805.1	1	98	0.405585	No
CP040246.1	22	18	JQ657805.1	1	98	1	Yes
AP012556.1	25	25	JQ657805.1	1	98	0.215885	No
CP089219.1	100	24	JQ657805.1	1	98	1	No
CP019223.1	84	4	JQ657805.1	1	98	1	Yes
CP059002.1	16	12	JQ657805.1	1	98	0.35328	Yes
CP015280.1	87	1	JQ657805.1	1	98	0.0451783	Yes
CP079868.1	167	U	JQ657805.1	1	98	1	Yes
CP036222.2	20	26	JQ657805.1	1	98	1	Yes
CP083742.1	175	28	JQ657805.1	1	98	0.405585	Yes
CP019222.1	84	13	JQ657805.1	1	98	1	Yes
CP063321.1	216	11	JQ657805.1	1	98	1	Yes
CP002387.1	298	U	JQ657805.1	1	98	0.372583	Yes
CP004376.1	240	21	JQ657805.1	1	98	1	Yes
CU458745.1	214	19	JQ657805.1	1	98	1	No
AP024242.1	64	9	JQ657805.1	1	98	0.372583	No
CP085201.1	174	28	JQ657805.1	1	98	0.405585	No
CP012888.2	83	6	JQ657805.1	1	98	1	Yes
CP081005.1	160	U	JQ657805.1	1	98	0.405585	No
CP113530.1	156	U	JQ657805.1	1	98	0.283502	No
AP023334.1	348	16	JQ657805.1	1	98	1	Yes
CP092424.2	105	U	JQ657805.1	1	98	0.405585	Yes
AP024249.1	65	9	JQ657805.1	1	98	0.372583	No
CP004375.1	240	31	JQ657805.1	1	98	1	Yes
CP092426.2	105	3	JQ657805.1	1	98	1	Yes
CP045326.1	168	U	JQ657805.1	1	98	1	Yes
LT703510.1	93	13	JQ657805.1	1	98	1	Yes
CP025549.1	130	U	JQ657805.1	1	98	0.35328	Yes
AP024263.1	68	9	JQ657805.1	1	98	0.372583	No
CP020810.1	49	U	JQ657805.1	1	98	0.328965	Yes
CP006836.1	101	1	JQ657805.1	1	98	0.0521565	No
CP003081.1	161	U	AP023334.1	16	348	0.405585	Yes
CP019224.1	84	1	AP023334.1	16	348	1	Yes
CP029334.1	19	2	AP023334.1	16	348	0.35328	Yes
CP084591.1	92	3	AP023334.1	16	348	1	Yes
CP079866.1	167	U	AP023334.1	16	348	1	Yes
LT703509.1	93	4	AP023334.1	16	348	1	Yes
CP065270.1	225	5	AP023334.1	16	348	1	Yes
CP079874.1	166	U	AP023334.1	16	348	1	Yes
CP084597.1	91	6	AP023334.1	16	348	1	Yes
CP022224.1	88	7	AP023334.1	16	348	1	Yes
CP016643.1	157	8	AP023334.1	16	348	0.405585	Yes
CP040252.1	23	2	AP023334.1	16	348	0.306598	Yes
CP122996.1	274	U	AP023334.1	16	348	0.405585	Yes
CP065048.1	103	9	AP023334.1	16	348	1	Yes
AP025526.1	154	U	AP023334.1	16	348	1	Yes
CP085946.1	58	9	AP023334.1	16	348	1	No
CP079872.1	166	U	AP023334.1	16	348	1	Yes
AP022566.1	271	U	AP023334.1	16	348	0.328965	No
CP079867.1	167	10	AP023334.1	16	348	1	Yes
CP079871.1	166	U	AP023334.1	16	348	0.312952	Yes
CP065277.1	228	11	AP023334.1	16	348	1	No
CP063323.1	216	8	AP023334.1	16	348	1	Yes
CP076858.1	18	12	AP023334.1	16	348	0.35328	Yes
CP103314.1	286	U	AP023334.1	16	348	1	Yes
AP020329.1	24	6	AP023334.1	16	348	1	Yes
CP015597.1	171	U	AP023334.1	16	348	1	No
CP079879.1	166	U	AP023334.1	16	348	0.328965	Yes
CP084595.1	91	13	AP023334.1	16	348	1	Yes
CP080335.1	317	U	AP023334.1	16	348	1	Yes
CP065282.1	231	14	AP023334.1	16	348	1	Yes
AP023336.1	348	15	AP023334.1	16	348	0.218593	Yes
CP012887.2	83	U	AP023334.1	16	348	1	Yes
CP122998.1	274	U	AP023334.1	16	348	1	Yes
AP023363.1	349	16	AP023334.1	16	348	0.00120098	Yes
CP003054.1	284	U	AP023334.1	16	348	1	Yes
JQ657806.1	98	U	AP023334.1	16	348	1	Yes
CP020812.1	49	U	AP023334.1	16	348	1	Yes
CP029333.1	19	1	AP023334.1	16	348	1	Yes
CP040253.1	23	17	AP023334.1	16	348	0.339586	Yes
AP022580.1	277	U	AP023334.1	16	348	1	No
AP023365.1	349	15	AP023334.1	16	348	0.217673	Yes
AP024252.1	131	18	AP023334.1	16	348	1	No
AP024267.1	61	9	AP023334.1	16	348	1	No
CP015271.1	85	6	AP023334.1	16	348	1	Yes
CP034180.1	182	19	AP023334.1	16	348	1	No
CP085920.1	236	19	AP023334.1	16	348	1	No
AP022607.1	44	U	AP023334.1	16	348	0.405585	No
CP079878.1	166	U	AP023334.1	16	348	1	Yes
CP084593.1	91	1	AP023334.1	16	348	1	Yes
CP015270.1	85	7	AP023334.1	16	348	1	Yes
AP018497.1	118	20	AP023334.1	16	348	1	No
AP022622.1	206	21	AP023334.1	16	348	1	Yes
CP015273.1	86	1	AP023334.1	16	348	1	Yes
CP065285.1	234	U	AP023334.1	16	348	1	Yes
CP084587.1	92	22	AP023334.1	16	348	0.339586	Yes
LT703506.1	93	22	AP023334.1	16	348	0.339586	Yes
CP063329.1	220	U	AP023334.1	16	348	1	No
CP015276.1	86	23	AP023334.1	16	348	1	Yes
CP089217.1	99	24	AP023334.1	16	348	1	No
CP076859.1	17	25	AP023334.1	16	348	1	Yes
CP020811.1	49	U	AP023334.1	16	348	0.23782	Yes
CP022225.1	88	6	AP023334.1	16	348	1	Yes
CP079875.1	166	U	AP023334.1	16	348	1	Yes
CP003079.1	161	U	AP023334.1	16	348	1	Yes
AP024261.1	67	9	AP023334.1	16	348	1	No
CP032156.1	158	U	AP023334.1	16	348	1	No
CP059001.1	16	18	AP023334.1	16	348	1	Yes
CP079864.1	165	U	AP023334.1	16	348	1	No
CP009406.2	13	26	AP023334.1	16	348	1	Yes
CP036221.2	20	2	AP023334.1	16	348	0.35328	Yes
CP015268.1	85	27	AP023334.1	16	348	1	Yes
AP022585.1	125	U	AP023334.1	16	348	1	No
CP076857.1	18	25	AP023334.1	16	348	1	Yes
EU271968.1	112	28	AP023334.1	16	348	1	No
AP020328.1	24	7	AP023334.1	16	348	1	Yes
CP023153.1	89	1	AP023334.1	16	348	1	Yes
CP045967.1	90	23	AP023334.1	16	348	1	Yes
HG917973.1	122	20	AP023334.1	16	348	1	No
CP065271.1	225	14	AP023334.1	16	348	1	Yes
AP025528.1	154	29	AP023334.1	16	348	1	Yes
CP084590.1	92	23	AP023334.1	16	348	1	Yes
AP022611.1	307	U	AP023334.1	16	348	1	No
CP092363.2	286	U	AP023334.1	16	348	1	Yes
CP012886.2	83	U	AP023334.1	16	348	1	Yes
CP103313.1	326	U	AP023334.1	16	348	0.320287	Yes
LT703507.1	93	1	AP023334.1	16	348	1	Yes
CP118918.1	254	U	AP023334.1	16	348	1	No
AP026368.1	143	28	AP023334.1	16	348	1	No
CP079876.1	166	U	AP023334.1	16	348	1	Yes
CP065049.1	103	U	AP023334.1	16	348	1	Yes
CP040251.1	23	2	AP023334.1	16	348	0.320287	Yes
CP009405.2	13	U	AP023334.1	16	348	1	Yes
BX649209.1	178	28	AP023334.1	16	348	1	No
CP081676.1	291	U	AP023334.1	16	348	1	Yes
CP015279.1	87	27	AP023334.1	16	348	1	Yes
CP040245.1	22	17	AP023334.1	16	348	0.339586	Yes
AP023364.1	349	30	AP023334.1	16	348	0.215885	Yes
CP045968.1	90	6	AP023334.1	16	348	1	Yes
CP059000.1	16	25	AP023334.1	16	348	1	Yes
AP025525.1	154	1	AP023334.1	16	348	1	Yes
AP023335.1	348	30	AP023334.1	16	348	0.217673	Yes
AP024256.1	63	U	AP023334.1	16	348	1	No
CP081675.1	291	U	AP023334.1	16	348	1	Yes
AP022623.1	206	31	AP023334.1	16	348	1	Yes
CP084594.1	91	4	AP023334.1	16	348	1	Yes
CP076860.1	17	U	AP023334.1	16	348	0.372583	Yes
CP092428.2	326	U	AP023334.1	16	348	1	Yes
CP084588.1	92	1	AP023334.1	16	348	1	Yes
CP122999.1	274	U	AP023334.1	16	348	1	Yes
CP122995.1	274	U	AP023334.1	16	348	0.372583	Yes
CP023148.1	124	U	AP023334.1	16	348	1	No
